2025-06-23 10:58:54,428 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2025-06-23 10:58:54,428 | INFO | ulauncher: main() | Extension API version 2.0.0
2025-06-23 10:58:54,429 | INFO | ulauncher: main() | GTK+ 3.24.49
2025-06-23 10:58:54,429 | INFO | ulauncher: main() | Is Wayland: False
2025-06-23 10:58:54,429 | INFO | ulauncher: main() | Wayland compatibility: off
2025-06-23 10:58:54,451 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2025-06-23 10:58:54,455 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2025-06-23 10:58:54,456 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2025-06-23 10:58:54,456 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2025-06-23 10:58:54,457 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2025-06-23 10:58:54,457 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2025-06-23 10:58:54,457 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2025-06-23 10:58:54,457 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2025-06-23 10:58:54,457 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2025-06-23 10:58:54,457 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2025-06-23 10:58:54,459 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-06-23 10:58:54,459 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-06-23 10:58:54,471 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-06-23 10:58:54,473 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2025-06-23 10:58:54,473 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2025-06-23 10:58:54,496 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2025-06-23 10:58:54,509 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 111 apps in cache
2025-06-23 10:58:54,534 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 111 apps in the system
2025-06-23 10:58:54,534 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.06 seconds
2025-06-23 10:58:54,544 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
